onset	duration	trial_type	accuracy	response_time	stimA	stimB	stimC	match_posit
4.0	4.91	O-P+	0	0.666	stressed	spittle	jest	1.0
8.91	4.91	O-P-	1	1.175	shows	seep	pledge	n/a
13.82	4.91	O+P+	1	1.46	huddle	stung	rung	2.0
18.73	4.91	O-P-	1	1.425	bath	cope	leads	n/a
23.64	4.91	O-P+	1	1.261	quote	shut	throat	1.0
28.55	4.91	O-P+	1	1.201	dance	curve	serve	2.0
33.46	4.91	O-P-	1	1.093	ought	pace	king	n/a
38.37	4.91	O+P+	1	1.202	free	took	three	1.0
43.28	4.91	O+P+	1	1.132	hoop	weave	heave	2.0
48.19	4.91	O-P-	0	1.701	debt	gaze	grill	n/a
57.1	4.91	control	1	0.984	/ /	/ \	\ \	n/a
62.01	4.91	control	1	1.187	\ \	\ /	/ \	n/a
66.92	4.91	control	1	1.141	/ /	/ \	/ /	1.0
71.83	4.91	control	1	1.145	\ /	/ \	/ /	n/a
76.74	4.91	control	1	1.286	\ \	\ /	\ /	2.0
81.65	4.91	control	1	1.19	\ /	/ \	\ /	1.0
86.56	4.91	control	1	1.255	\ \	\ /	\ \	1.0
91.47	4.91	control	1	1.136	/ /	/ \	/ \	2.0
96.38	4.91	control	1	1.379	\ /	/ \	/ \	2.0
101.29	4.91	control	1	1.105	/ \	/ /	\ /	n/a
110.2	4.91	O+P+	1	1.31	blooms	prank	grooms	1.0
115.11	4.91	O-P-	1	0.99	mild	weep	drag	n/a
120.02	4.91	O-P-	1	1.15	people	girl	what	n/a
124.93	4.91	O+P+	1	1.183	wrong	round	ground	2.0
129.84	4.91	O-P+	0	1.752	clip	weed	plead	2.0
134.75	4.91	O-P-	0	n/a	shine	skip	cute	n/a
139.66	4.91	O-P-	0	2.1	town	gain	five	n/a
144.57	4.91	O-P+	1	1.155	throats	startle	quotes	1.0
149.48	4.91	O+P+	0	1.354	malt	coin	halt	1.0
154.39	4.91	O-P+	1	1.375	broth	sneer	smear	2.0
163.3	4.91	control	1	1.155	/ \	/ /	/ \	1.0
168.21	4.91	control	1	1.083	\ /	\ \	\ \	2.0
173.12	4.91	control	1	1.063	\ /	\ \	\ /	1.0
178.03	4.91	control	1	1.105	/ \	\ \	/ /	n/a
182.94	4.91	control	1	1.132	/ /	\ \	/ /	1.0
187.85	4.91	control	1	1.046	/ /	\ \	\ /	n/a
192.76	4.91	control	1	1.084	/ /	\ \	\ \	2.0
197.67	4.91	control	0	1.334	\ /	/ /	/ \	n/a
202.58	4.91	control	1	1.16	\ \	/ /	/ \	n/a
207.49	4.91	control	1	1.131	/ \	/ /	/ /	2.0
216.4	4.91	O+P+	1	1.514	squash	stacked	hacked	2.0
221.31	4.91	O-P-	1	1.166	wharf	gleam	dell	n/a
226.22	4.91	O+P+	1	1.689	black	fish	track	1.0
231.13	4.91	O+P+	1	1.281	book	floor	door	2.0
236.04	4.91	O-P+	0	1.957	clause	geese	niece	2.0
240.95	4.91	O-P-	1	1.487	blitz	vault	dump	n/a
245.86	4.91	O-P-	1	1.159	trait	vine	trance	n/a
250.77	4.91	O-P+	1	1.294	swirl	knit	pearl	1.0
255.68	4.91	O-P+	1	1.155	touch	than	such	1.0
260.59	4.91	O-P-	0	1.487	glade	clips	scrape	n/a
269.5	4.91	control	1	1.172	/ /	\ /	/ /	1.0
274.41	4.91	control	1	1.108	/ /	/ \	\ \	n/a
279.32	4.91	control	1	1.225	\ \	/ \	/ /	n/a
284.23	4.91	control	1	1.195	/ \	\ \	\ \	2.0
289.14	4.91	control	1	1.162	/ /	\ /	\ /	2.0
294.05	4.91	control	1	1.005	/ /	\ /	/ \	n/a
298.96	4.91	control	1	1.103	\ \	/ /	\ \	1.0
303.87	4.91	control	1	0.962	\ /	/ \	/ /	n/a
308.78	4.91	control	1	1.146	\ \	/ /	/ /	2.0
313.69	4.91	control	1	1.037	/ \	\ \	/ \	1.0
322.6	4.91	O-P-	1	1.779	crop	stall	gulf	n/a
327.51	4.91	O+P+	0	1.882	knee	grass	tree	1.0
332.42	4.91	O+P+	1	1.147	dull	since	prince	2.0
337.33	4.91	O-P-	1	1.078	bleak	mice	dusk	n/a
342.24	4.91	O-P-	1	1.267	math	verb	spire	n/a
347.15	4.91	O+P+	1	1.55	knob	swan	blob	1.0
352.06	4.91	O-P-	0	2.351	pound	path	drop	n/a
356.97	4.91	O-P+	0	2.246	streak	sigh	meek	1.0
361.88	4.91	O-P+	1	1.723	wasp	rinse	mince	2.0
366.79	4.91	O-P+	1	1.789	want	caught	thought	2.0
375.7	4.91	control	1	1.188	/ \	\ /	\ /	2.0
380.61	4.91	control	0	1.095	\ \	\ /	/ \	n/a
385.52	4.91	control	1	1.057	\ /	/ /	/ /	2.0
390.43	4.91	control	1	1.128	\ \	/ /	\ /	n/a
395.34	4.91	control	1	1.099	/ \	\ /	/ \	1.0
400.25	4.91	control	1	1.033	\ \	/ \	/ \	2.0
405.16	4.91	control	0	1.267	\ /	/ /	\ /	1.0
410.07	4.91	control	1	1.25	\ \	/ \	\ \	1.0
414.98	4.91	control	1	1.038	/ \	/ /	\ /	n/a
419.89	4.91	control	1	1.092	/ /	\ \	\ /	n/a
428.8	4.91	O-P-	1	1.031	thrush	hauled	torch	n/a
433.71	4.91	O+P+	1	1.327	drowned	coyote	frowned	1.0
438.62	4.91	O+P+	1	1.075	stance	scorn	sworn	2.0
443.53	4.91	O-P+	1	1.29	dealt	close	felt	1.0
448.44	4.91	O-P-	1	1.261	glow	saint	string	n/a
453.35	4.91	O-P-	1	1.461	reared	slang	flex	n/a
458.26	4.91	O-P+	0	1.879	bowl	view	whole	1.0
463.17	4.91	O+P+	1	1.492	straw	wage	rage	2.0
468.08	4.91	O-P-	1	1.157	stark	hoot	bounce	n/a
472.99	4.91	O-P+	1	1.097	budge	lurk	jerk	2.0
481.9	4.91	control	1	1.091	/ /	/ \	/ /	1.0
486.81	4.91	control	1	1.215	\ \	\ /	\ \	1.0
491.72	4.91	control	1	1.205	\ \	/ \	/ \	2.0
496.63	4.91	control	1	1.011	/ /	\ /	\ \	n/a
501.54	4.91	control	1	1.248	/ \	/ /	/ /	2.0
506.45	4.91	control	1	1.175	\ \	/ \	\ /	n/a
511.36	4.91	control	1	1.526	\ /	/ /	\ \	n/a
516.27	4.91	control	1	1.126	/ \	\ \	/ \	1.0
521.18	4.91	control	1	1.099	\ /	\ \	\ \	2.0
526.09	4.91	control	1	1.116	/ \	\ \	/ /	n/a
